56689;Bank of China;Bank of China;Bank of China Limited;BANK OF CHINA;Bank Of China;Bank of China Ltd
47376;Comcast;Comcast;COMCAST;Comcast Corporation;Comcast Corp
47762;FedEx;FedEx;Fedex;FEDEX;FedEx Corporation;FedEx Corp
56340;HSBC Holdings;HSBC Holdings;HSBC Holdings plc.;HSBC;HSBC Holdings Plc;HSBC Holdings PLC;HSBC Holdings PLC
47758;SEB;SEB
60070;Krave Cosmeceuticals;Krave Cosmeceuticals;Krave Cosmeceuticals
54945;Revolution Cosmetics Limited;Revolution Cosmetics Limited
53731;Le Labo;Le Labo;Le Labo
56693;China Mobile;China Mobile;China Mobile Limited;CHINA MOBILE
47333;Sinopec-China Petroleum;Sinopec-China Petroleum
47368;Royal Bank of Canada;Royal Bank of Canada;Royal Bank Of Canada;ROYAL BANK CANADA;Royal Bank Canada
47383;Nippon Telegraph & Tel;Nippon Telegraph & Tel
47406;Softbank;Softbank;SoftBank;SoftBank Corp.;SOFTBANK;SoftBank Corp
56294;ANZ;ANZ
47416;UBS;UBS AG;UBS Group AG;UBS;UBS Group AG
968785;Lukoil;LukOil;Lukoil;LUKOIL
967700;ING Group;ING Group;ING;ING Group
61196;Prudential;Prudential;Prudential plc;Prudential PLC;PRUDENTIAL;Prudential plc
56727;CNOOC;CNOOC;Cnooc
8906;Unilever;UNILEVER;Unilever;Unilever NV
116273;New Era Cap Co., Inc.;New Era Cap Co. Inc;New Era Cap Co., Inc.;New Era Cap Co., Inc.
60910;Becton, Dickinson;BECTON DICKINSON;Becton, Dickinson and Company (BD);Becton, Dickinson and Company;Becton, Dickinson & Co.;Becton Dickinson;Becton, Dickinson;Becton Dickinson and Co;Becton, Dickinson and Company;Becton Dickinson
48501;MTR;MTR Corporation Limited;MTR Corporation;MTR Corp;MTR;MTR Corporation Limited
856850;Plantronics, Inc.;Plantronics, Inc.;Plantronics
47569;VINCI;Vinci SA;Vinci;VINCI;Vinci
61288;Hess;Hess Corporation;Hess Corp.;HESS;Hess;Hess Corp
57296;Murphy Oil;Murphy Oil;Murphy Oil Corporation;MURPHY OIL
56310;Ashland;Ashland Inc.;Ashland, Inc.;Ashland
61275;Celanese;Celanese Corporation;Celanese Corp.;Celanese;Celanese Corp
965816;Generali Group;Generali Group;GENERALI;Generali
59946;Illuminare Cosmetics;Illuminare Cosmetics;Illuminare Cosmetics
60710;Swiss Clinic Distribution;Swiss Clinic Distribution;Swiss Clinic Distribution
53000;Forest Nymphs;Forest Nymphs;Forest Nymphs
53444;J.R. Liggett, Ltd.;J.R. Liggett, Ltd.;J.R. Liggett, Ltd.
54700;Pittstown Soapworks;Pittstown Soapworks;Pittstown Soapworks
55184;Sidlab Haircouture;Sidlab Haircouture;Sidlab Haircouture
55933;Zoo On Yoo;Zoo On Yoo;Zoo On Yoo
51677;Arganat Inc.;Arganat Inc.;Arganat Inc.
54824;Pure Ayre;Pure Ayre;Pure Ayre
60944;Bonne Bell;Bonne Bell;Bonne Bell Company;Bonne Bell
53121;gloProfessional;gloProfessional;gloProfessional
52389;Cocoa Pink;Cocoa Pink;Cocoa Pink
53083;Garmon Corporation;Garmon Corporation;Garmon Corporation
53530;Juice Beauty, Inc.;Juice Beauty, Inc.;Juice Beauty, Inc.
55277;Smith & Vandiver;Smith & Vandiver;Smith & Vandiver
51770;Austin Rose;Austin Rose;Austin Rose
51607;Angel Minerals;Angel Minerals
47464;BBVA-Banco Bilbao Vizcaya;BBVA-Banco Bilbao Vizcaya
56521;Mitsubishi Corp;Mitsubishi Corp
56214;Swiss Re;Swiss Re;Swiss Re Ltd.;Swiss Re AG;SWISS RE
47566;Aviva;Aviva;AVIVA plc;Aviva Plc;AVIVA;Aviva PLC;Aviva Plc
56771;France Telecom;France Telecom;FRANCE TELECOM
56779;Bank of Montreal;Bank of Montreal;Bank Of Montreal;BANK OF MONTREAL
47586;State Bank of India;State Bank of India;STATE BANK OF INDIA
